customer_id,domains,injection_count,inj_traffic_pct
5,yahoo.co.uk,948,1.254632080465855
5,verizon.net,337,0.446003176283748
5,aol.com,2634,3.4859714134462676
5,yahoo.com,12007,15.890682901005823
5,gmail.com,59634,78.9227104287983
10,yahoo.com,14082,12.802283719407978
10,aol.com,1761,1.6009673079021056
10,verizon.net,214,0.19455252918287938
10,yahoo.co.uk,664,0.6036583148478126
10,gmail.com,93275,84.79853812865923
3,yahoo.com,16728,15.17788282688975
3,yahoo.co.uk,521,0.47272100387431615
3,verizon.net,350,0.31756689319771714
3,aim.com,69,0.06260604465897852
3,aol.com,3496,3.172039596054912
3,gmail.com,89049,80.79718363532432
12,yahoo.co.uk,1060,0.6695004642290955
12,gmail.com,89670,56.63594964851225
12,verizon.net,3231,2.0407132074756675
12,aim.com,153,0.09663544436514303
12,yahoo.com,49141,31.037662559133945
12,aol.com,15072,9.519538676283894
8,gmail.com,107700,75.92313223455102
8,verizon.net,736,0.5188433177774331
8,aim.com,102,0.071904916322416
8,yahoo.com,25022,17.63926290411268
8,aol.com,6574,4.6343423519957145
8,yahoo.co.uk,1720,1.2125142752407403
11,yahoo.com,42867,19.9495525347059
11,aim.com,277,0.12891095836222582
11,verizon.net,1304,0.6068588075969042
11,aol.com,11526,5.3639989389278515
11,gmail.com,157494,73.29495478808808
11,yahoo.co.uk,1409,0.6557239723190477
2,aol.com,15440,2.7459042632653494
2,yahoo.es,224,0.0398369530421916
2,verizon.net,506,0.08998883142566497
2,aim.com,378,0.06722485825869833
2,googlemail.com,492,0.08749902186052798
2,yahoo.com,110464,19.645308843092202
2,gmail.com,428966,76.28883213703912
2,yahoo.it,62,0.011026299502749462
2,yahoo.fr,99,0.017606510496325754
2,yahoo.co.uk,5661,1.0067722820171725
4,yahoo.it,54,0.03596547314578005
4,gmail.com,122246,81.41917092924126
4,verizon.net,455,0.3030424126172208
4,yahoo.fr,51,0.033967391304347824
4,yahoo.com,20083,13.375825873827793
4,aol.com,2649,1.7643062659846547
4,yahoo.co.uk,4606,3.067721653878943
13,gmail.com,229241,76.06528764923318
13,verizon.net,1334,0.4426393783139886
13,yahoo.com,53974,17.90930869948967
13,aol.com,14273,4.7359758970581405
13,aim.com,200,0.06636272538440609
13,yahoo.co.uk,2352,0.7804256505206155
14,yahoo.fr,71,0.006408034773065315
14,gmail.com,1001718,90.40906727894988
14,yahoo.gr,58,0.005234732631518145
14,yahoo.com,51024,4.605120651561755
14,yahoo.it,63,0.005686002685959364
14,yahoo.co.uk,38187,3.4465299137893686
14,yahoo.de,52,0.004693208566188682
14,aol.com,15724,1.4191540672067466
14,verizon.net,819,0.07391803491747173
14,aim.com,123,0.011101243339253997
14,googlemail.com,82,0.007400828892835997
14,yahoo.es,63,0.005686002685959364
